128.164.203.88/30,   DIT - Hospital to Core 1 (Paetec)
128.164.203.92/31,   DIT - Lafayette to 2011 I Street (Paetec)
128.164.203.94/31,   DIT - CityHall to Lafayette (Paetec)
128.164.203.96/31,   DIT - CityHall to Hospital (Paetec)
128.164.203.98/31,   DIT - Lafayette to Hospital
128.164.203.100/30,  DIT - 2020K to the Aston
128.164.203.104/29,  DIT - VPN Box Network
128.164.203.112/30,  DIT - Dept Of State 2201C Street
128.164.203.116/30,  DIT - Dept Of State 2401 E Street
128.164.203.120/29,  DIT - Hospital Interconnect
128.164.203.128/31,  DIT - CORE-1 to MVC-IPCS-1
128.164.203.130/31,  DIT - CORE-2 to MVC-IPCS-2
128.164.203.132/31,  DIT - MVC-IPCS interconnect (1 to 2)
128.164.203.134/31,  DIT - p2p_to_head-end
128.164.203.136/30,  DIT - Hospital to Lafayette
128.164.203.140/31,  DIT - CityHall to selma7200 (Pairgain)
128.164.203.142/31,  DIT - 2029K to patti (Pairgain)
128.164.203.144/31,  DIT - 2029K to patti (Allied telecom)
128.164.203.146/31,  Rockville
128.164.203.148/30,  DIT - Aston to Hospital
128.164.203.152/30,  DIT - 1919 Penn to ACAD (Allied Telecom)
128.164.203.156/30,  DIT - 1919 Penn to Support (Allied Telecom)
128.164.212.0/22,    Gelman
128.164.216.0/24,    2121 K St.
128.164.217.0/28,    DIT - FW-PIM
128.164.218.0/24,    SBPM - 1 Virginia Square
128.164.219.0/24,    SEAS - SEAS
128.164.224.0/22,    SBPM
128.164.228.0/22,    Miscellaneous/Unsorted
128.164.232.0/22,    Rice Hall
128.164.236.0/22,    CCAS - Corcoran/Sampson/Townhouses
128.164.240.0/22,    Academic Center
128.164.244.0/22,    HOG/Monroe/Stuart/Lisner/Bell
128.164.248.0/22,    Media & Public Affairs
128.164.254.0/24,    DIT - video cameras
128.164.255.0/24,    DIT - loopbacks
161.253.1.0/24,     Student
161.253.2.0/24,     Student
161.253.3.0/24,     Student
161.253.4.0/23,     Student - Potomac House
161.253.6.0/23,     Student - Strong/Guthridge/2109F
161.253.8.0/22,     Student - JBKO/Munson/Fullbright
161.253.12.0/22,     Student - NewHall
161.253.16.0/23,     Student - Madison Hall
161.253.18.0/23,     Student - FSK Hall/2028G/Bldg.JJ/2034G
161.253.20.0/22,     Student - Ivory Tower
161.253.24.0/22,     Student - City Hall
161.253.28.0/23,     Student - The Schenley/Lafayette
161.253.30.0/23,     Student - IHOS/Townhouse Row/AQ/AS/AT
161.253.32.0/22,     Student - Thurston Hall
161.253.36.0/22,     Student - HOVA
161.253.40.0/24,     Student - 1957 E St. (ESIA Residential)
161.253.41.0/24,     Student - The West End
161.253.42.0/23,     Student - MC 3rd floor events
161.253.44.0/24,     Student - The Aston
161.253.45.0/24,     Student - ResHall Labs/MC Student Groups
161.253.46.0/23,     Student - Mitchell Hall
161.253.48.0/22,     Student - MVC Students
161.253.53.0/24,     Student - Crawford Hall
161.253.54.0/23,     Student - Thurston Hall (fl 1 - 3)
161.253.56.0/23,     Student - The Dakota
161.253.58.0/23,     Student - 2135 F St. (Square 80)
161.253.64.0/21,     Student - Summer Wireless
161.253.96.0/19,     SSL VPN
161.253.129.0/27,    Jason Foundation
161.253.129.32/28,   IJIS
161.253.129.48/28,   MFA
161.253.129.64/27,   CATS
161.253.130.0/29,    NCAC DMZ
161.253.130.16/28,   DIT - Patchlink Firewalled Network
161.253.130.64/26,   Security
161.253.130.128/26,  DIT - UNIX test
161.253.131.0/25,    DIT - telecom (via 161.253.152.1)
161.253.131.128/26,  DIT - DIT_mgt
161.253.131.192/27,  DIT - Load Balancer LDAP Network
161.253.131.242/31,  DIT - mx240-nva to nva-7609-1
161.253.131.244/31,  DIT - mx240-nva to nva-7609-2
161.253.131.246/31,  DIT - CAT3K-Research2-1E to 1W
161.253.131.248/31,  DIT - nva-7609-2 to CAT3K-Research2-1W
161.253.131.250/31,  DIT - nva-7609-1 to CAT3K-Research2-1E
161.253.131.252/31,  DIT - nva-7609-1 to nva-7609-2 (p2p)
161.253.132.0/25,    DIT - Load Balancer Routed Network
161.253.132.128/25,  DIT - LCDC Server Admin interfaces
161.253.135.0/24,    Ashburn Campus Building 2 - VPN Network
161.253.137.0/24,    Ashburn Campus Building 2 - Basement East
161.253.138.0/24,    Ashburn Campus Building 2 - 1st Fl. West
161.253.139.0/24,    Ashburn Campus Building 2 - 1st Fl. East
161.253.140.0/24,    Ashburn Campus Building 2 - 2nd Fl. West
161.253.141.0/24,    Ashburn Campus Building 2 - 2nd Fl. East
161.253.142.0/24,    Ashburn Campus Building 2 - 3rd Fl. West
161.253.143.0/24,    Ashburn Campus Building 2 - 3rd Fl. East
161.253.147.0/24,    CATS
161.253.148.0/26,    EMC-Centera_DMZ (via 161.253.152.1)
161.253.149.0/24,    Firewall/Load-balance (via 161.253.152.1)
161.253.150.0/24,    Firewall (via 161.253.152.1)
161.253.151.0/24,    Firewall (via 161.253.152.1)
161.253.152.0/24,    DIT Ð Ashburn Data Center
161.253.153.0/24,    DIT Ð Ashburn Data Center (CoLo)
161.253.154.0/23,    Ashburn Campus NCAC (via 161.253.130.1)
161.253.156.0/23,    DIT  - Ashburn Campus Building 1
161.253.158.0/24,    VMWareDMZ (via 161.253.152.1)
161.253.159.0/24,    DIT - LOM-KVM
