"Device Name","IP Addresses","Status","OS Info","Version","Agent Install Date","Last Contact Date","Queued Deployments"
"\\GL00B05017","128.164.61.127","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","9/10/2010 4:06:54 AM (Local)","9/10/2010 9:30:51 AM (Local)","0"
"\\OM0300D54","161.253.112.15","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","9/9/2010 8:23:16 AM (Local)","9/9/2010 8:23:33 AM (Local)","0"
"\\SASSATH-F05MCN1","161.253.113.143","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","8/23/2010 8:53:25 PM (Local)","9/9/2010 5:05:08 PM (Local)","0"
"\\MC-PHMJGFR654W","128.164.32.161","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","8/31/2010 9:17:31 AM (Local)","9/10/2010 9:24:48 AM (Local)","0"
"\\THE-6B8957DBEDD","128.164.102.207","Offline","Microsoft Windows XP Professional-Service Pack 2","6.4.2.420","4/14/2010 11:47:40 AM (Local)","8/17/2010 2:50:37 PM (Local)","1"
"\\EOHEAK-2100M203","128.164.76.206","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/21/2010 5:25:29 PM (Local)","8/13/2010 10:09:54 PM (Local)","34"
"\\CCAENG-2GLCB71","192.168.2.2","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/13/2010 8:54:56 AM (Local)","9/10/2010 8:50:56 AM (Local)","0"
"\\DHP-JMPK1842AW","128.164.185.228","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/12/2010 2:07:33 PM (Local)","9/9/2010 3:22:18 PM (Local)","0"
"\\MC-MLBEXMHIMM","128.164.34.226","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","8/19/2010 7:46:00 AM (Local)","9/10/2010 10:07:20 AM (Local)","0"
"\\CPSAGC-DZ8G7C1","192.168.1.154","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/13/2010 7:08:29 PM (Local)","9/10/2010 8:54:54 AM (Local)","0"
